Temperature,E. Coli,Dissolved oxygen
11.16,51,11.43
21.18,285,10.78
23.54,309,8.09
24.29,2603,5.66
12.64,148,10.78
2.14,63,15.25
3.35,9,17.51
23.9,20,7.23
22.9,504,4.35
25.3,2098,5.47
15.32,25000,11.98
26.95,148,19.99
26.9,4884,5.88
28.73,25000,3.5
8.81,1470,16.91
28.3,10,7.35
24.4,19863,1.7
26.3,24196,2.81
11.48,9,11.59
20.53,201,6.57
22.34,6488,6.06
26.16,571,5.53
27.2,74,4.23
12.27,10,13.48
3.68,9,14.78
4.87,41,17.61
26.8,63,7.68
25.6,108,3.63
27.9,197,3.99
14.96,156,11.79
20,860,7.69
23.06,9208,6.37
23.58,703,6.9
24.2,1223,5.46
13.6,51,11.12
4.02,197,15.6
7.23,2603,17.56
25.7,404,7.42
26.1,909,3.71
26.1,651,4.78
16.17,9,12
21.99,355,11.68
23.26,1112,7.92
24.17,25000,7.44
25.83,527,9.3
14.61,20,17.64
17.47,75,13.26
25.9,235,7.95
25.1,908,3.85
27.3,443,4.25
13.31,9,12.5
20.4,85,8.42
23.48,683,7.3
24.68,862,7.45
26.36,464,6.92
13.2,10,12.28
3.57,9,13.61
6.76,31,14.22
25.7,259,7.7
25.4,857,4.31
24.7,206,4.03
14.43,9,9.78
22.31,9,8.58
24.52,41,4.93
24.59,288,5.71
27.4,20,9.34
13.25,9,11.21
4.73,9,3.88
5.26,9,16.66
23.5,9,7.94
27.3,144,4.31
21.7,10,3.79
13.42,9,13.79
20.46,9,6.65
24,31,4.55
26.55,30,5.3
26.78,9,6.81
14.49,9,8.26
5.58,9,7.26
4.4,9,20.09
19.3,9,7.38
26.5,85,4.58
20.4,9,3.85
