"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","성분 및 원료7","비고7","번호8","번호9","번호10","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호2254","품목보고번호2008047829510","업소명가보자식품","품목유형혼합음료","유통/소비기한3개월","제품명옛날호박식혜","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","6","정제수","쌀","늙은호박","백설탕","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2253","품목보고번호202104913792","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한6개월","제품명옛날호박식혜","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","6","정제수","쌀","늙은호박","백설탕","엿기름","생강","","","","정백당","","","7","치자","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2252","품목보고번호200804782959","업소명가보자식품","품목유형혼합음료","유통/소비기한1년","제품명옛날호박식혜냉동","분류식품","업체명","가보자식품","소재지","전라북도 전주시 완산구 춘향로 5237(1층 대성동)","1","2","3","4","5","6","정제수","쌀","늙은호박","흰설탕","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2251","품목보고번호202104913796","업소명주식회사 가보자","품목유형혼합음료","유통/소비기한1년","제품명옛날호박식혜냉동","분류식품","업체명","주식회사 가보자","소재지","전라북도 익산시 왕궁면 국가식품로4길 63(1,2층)","1","2","3","4","5","6","정제수","쌀","늙은호박","백설탕","엿기름","생강","","","","정백당","","","7","치자","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2250","품목보고번호201905710251","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한영하18도이하12개월 냉동보관","제품명옛맛식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,NA,"엿기름","설탕","멥쌀","정제수",NA,NA,"맥아","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2249","품목보고번호2022079510915","업소명농업회사법인 한조주식회사 2공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월 까지","제품명오 마이간","분류식품","업체명","농업회사법인 한조주식회사 2공장","소재지","경상북도 영천시 하명길 7(도림동)","1","2","3","4","5","6","정제수","기타가공품","과당","요구르트향분말","메론향분말","잔탄검","","숙취유산균배양건조물 MH35","","","","","7","기타소금","","8","9","10","효소처리스테비아","자몽종자추출물","비타민C","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2248","품목보고번호20200401439169","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명오!그래놀라 오트 초콜릿","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","정제수","혼합음료","분리대두단백","완두단백","식물성크림","코코아분말","","오트액","","","","싱가포르산","7","코코아분말","네덜란드산","8","9","10","곡류가공품","향료제제","향료제제","그래놀라 분말","초콜릿향","","11","12","13","14","15","16","17","18","향료","향료","유화제","정제소금","카라기난","젤란검","수크랄로스","아세설팜칼륨","초콜릿향","밀크향","","","","","",""
"8","번호2247","품목보고번호20200401439168","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명오!그래놀라 오트 플레인","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","정제수","혼합음료","분리대두단백","완두단백","식물성크림","곡류가공품","","오트액","","","","그래놀라 분말","7","유화제","","8","9","10","카라기난","젤란검","수크랄로스","","","","11","12","13","14","15","16",NA,NA,"아세설팜칼륨","정제소금","향료제제","향료","향료","향료",NA,NA,"","","","밀크향","오트향","곡물향",NA,NA
"9","번호2246","품목보고번호20020623009953","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오가다 배도라지티","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","배농축과즙","도라지농축액","생강농축액","덱스트린","백설탕","기타과당","69Brix","","62Brix","글루시덱스","","","7","사양벌꿀","","8","9","10","구연산","구연산삼나트륨","효소처리스테비아","구연산(무수)","","","11","12","13","14","15",NA,NA,NA,"비타민C","혼합제제","합성향료","합성향료","정제수",NA,NA,NA,"","생강엣센스(올레오레진생강, 식용주정, 정제수)","도라지향","벌꿀향","",NA,NA,NA
"10","번호2245","품목보고번호20020623009982","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명오가다 생강귤피 블렌딩티","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","생강농축액","구기자농축액","라임농축액","기타가공품","구연산","설탕","","","","진피추출액","","","7","혼합제제","혼합과일향","8",NA,NA,"정제수",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
