Date,Open,High,Low,Close,Volume,Adj Close
8/11/2015,93.730003,96.099998,72,89.43,38423200,89.43
9/1/2015,86.849998,96.489998,85.720001,89.900002,31979400,89.900002
10/1/2015,90.050003,105.120003,88.360001,101.970001,27517800,101.970001
11/2/2015,101.720001,110.650002,100.470001,104.239998,28380800,104.239998
12/1/2015,104.830002,107.919998,101.459999,104.660004,20850200,104.660004
1/4/2016,101.949997,112.839996,89.370003,112.209999,45023600,112.209999
2/1/2016,112.269997,117.589996,96.82,106.919998,45346500,106.919998
3/1/2016,107.830002,116.989998,104.400002,114.099998,24666600,114.099998
4/1/2016,113.75,120.790001,106.309998,117.580002,37083500,117.580002
5/2/2016,117.830002,121.080002,115.879997,118.809998,23048700,118.809998
6/1/2016,118.5,119.440002,108.230003,114.279999,21548500,114.279999
7/1/2016,114.199997,128.330002,112.970001,123.940002,25258300,123.940002
8/1/2016,123.849998,126.089996,122.07,124.900002,19708600,124.900002
