Month,Passengers,Log(Passengers)
1 ,112,4.718
2 ,118,4.771
3 ,132,4.883
4 ,129,4.860
5 ,121,4.796
6 ,135,4.905
7 ,148,4.997
8 ,148,4.997
9 ,136,4.913
10 ,119,4.779
11 ,104,4.644
12 ,118,4.771
13 ,115,4.745
14 ,126,4.836
15 ,141,4.949
16 ,135,4.905
17 ,125,4.828
18 ,149,5.004
19 ,170,5.136
20 ,170,5.136
21 ,158,5.063
22 ,133,4.890
23 ,114,4.736
24 ,140,4.942
25 ,145,4.977
26 ,150,5.011
27 ,178,5.182
28 ,163,5.094
29 ,172,5.147
30 ,178,5.182
31 ,199,5.293
32 ,199,5.293
33 ,184,5.215
34 ,162,5.088
35 ,146,4.984
36 ,166,5.112
37 ,171,5.142
38 ,180,5.193
39 ,193,5.263
40 ,181,5.198
41 ,183,5.209
42 ,218,5.384
43 ,230,5.438
44 ,242,5.489
45 ,209,5.342
46 ,191,5.252
47 ,172,5.147
48 ,194,5.268
49 ,196,5.278
50 ,196,5.278
51 ,236,5.464
52 ,235,5.460
53 ,229,5.434
54 ,243,5.493
55 ,264,5.576
56 ,272,5.606
57 ,237,5.468
58 ,211,5.352
59 ,180,5.193
60 ,201,5.303
61 ,204,5.318
62 ,188,5.236
63 ,235,5.460
64 ,227,5.425
65 ,234,5.455
66 ,264,5.576
67 ,302,5.710
68 ,293,5.680
69 ,259,5.557
70 ,229,5.434
71 ,203,5.313
72 ,229,5.434
73 ,242,5.489
74 ,233,5.451
75 ,267,5.587
76 ,269,5.595
77 ,270,5.598
78 ,315,5.753
79 ,364,5.897
80 ,347,5.849
81 ,312,5.743
82 ,274,5.613
83 ,237,5.468
84 ,278,5.628
85 ,284,5.649
86 ,277,5.624
87 ,317,5.759
88 ,313,5.746
89 ,318,5.762
90 ,374,5.924
91 ,413,6.023
92 ,405,6.004
93 ,355,5.872
94 ,306,5.724
95 ,271,5.602
96 ,306,5.724
97 ,315,5.753
98 ,301,5.707
99 ,356,5.875
100 ,348,5.852
101 ,355,5.872
102 ,422,6.045
103 ,465,6.142
104 ,467,6.146
105 ,404,6.001
106 ,347,5.849
107 ,305,5.720
108 ,336,5.817
109 ,340,5.829
110 ,318,5.762
111 ,362,5.892
112 ,348,5.852
113 ,363,5.894
114 ,435,6.075
115 ,491,6.196
116 ,505,6.225
117 ,404,6.001
118 ,359,5.883
119 ,310,5.737
120 ,337,5.820
121 ,360,5.886
122 ,342,5.835
123 ,406,6.006
124 ,396,5.981
125 ,420,6.040
126 ,472,6.157
127 ,548,6.306
128 ,559,6.326
129 ,463,6.138
130 ,407,6.009
131 ,362,5.892
132 ,405,6.004
133 ,417,6.033
134 ,391,5.969
135 ,419,6.038
136 ,461,6.133
137 ,472,6.157
138 ,535,6.282
139 ,622,6.433
140 ,606,6.407
141 ,508,6.230
142 ,461,6.133
143 ,390,5.966
144 ,432,6.068
