time,velocity
0,24.43722117
1,31.3040329
2,27.9405858
3,10.51135859
4,10.56325943
5,8.738124091
6,3.792207529
7,-0.914309099
8,-1.46805956
9,0.159107069
10,3.411143822
11,4.72580277
12,3.729841105
13,3.011972613
14,4.35584609
15,6.234303421
16,5.918810192
17,8.972704477
18,2.186277047
19,6.489761391
20,3.828258993
21,8.843419565
22,5.379388338
23,13.10844021
24,12.89505707
25,10.99213342
26,19.4248642
27,12.37307106
28,16.73311869
29,15.38106689
30,11.86100247
31,8.463330651
32,2.023026316
33,-3.786988692
34,-4.053454055
35,-3.268974536
36,4.335402928
37,-0.016803115
38,4.907824412
39,8.313582812
40,2.686306929
41,4.175231088
42,6.183166802
43,7.752268582
44,6.335211596
45,7.78283344
46,7.258458148
47,11.11641547
48,9.79981587
49,8.971972718
50,16.94658665
51,20.01080819
52,18.47211871
53,17.74818183
54,11.11757036
55,8.733473126
56,10.43642992
57,3.174991182
58,-1.671992919
59,3.643143404
60,-0.62204508
61,-2.920645112
62,2.818805787
63,2.946449556
64,5.946362242
65,5.57224697
66,7.928764355
67,1.621247942
68,1.684823673
69,3.234972513
70,1.70150593
71,7.407791233
72,10.47624037
73,24.73737317
74,26.19655872
75,27.51792456
76,15.14999031
77,20.63864793
78,20.31546344
79,10.93005657
80,12.62727592
81,5.571028583
82,6.656505432
83,-1.805101897
84,-3.486397156
85,1.40363626
86,1.992415198
87,3.17467545
88,3.739489796
89,9.37304274
90,9.115755493
91,9.735806446
92,4.761181331
93,8.64652409
94,-0.13123376
95,1.607906963
96,0.502180915
97,7.931818702
98,8.221176718
99,9.922299761
100,17.75495845
101,17.22704998
102,22.41217962
103,20.58306784
104,15.86884846
105,9.35268207
106,11.65957585
107,5.608215745
108,3.247929348
109,5.093193922
110,1.671838717
111,2.10539295
112,6.260836525
113,5.044571377
114,10.96873889
115,5.505948421
116,10.36756314
117,1.93640537
118,4.256707947
119,0.248700025
120,9.368473816
121,1.377744755
122,9.87872952
123,7.001060732
124,14.1197293
125,18.37821424
126,22.46432068
127,15.87135486
128,16.54204562
129,11.78504816
130,10.07208504
131,2.912572509
132,-0.627353551
133,6.336222826
134,3.626906681
135,-0.298808499
136,6.684799582
137,8.995782009
138,6.308779384
139,3.669426792
140,9.194945096
141,5.959661655
142,11.4084624
143,2.987389352
144,4.709046509
145,5.154129697
146,20.00575222
147,22.76091914
148,23.64826638
149,15.70089276
150,21.74165832
151,14.93007919
152,23.54006599
153,17.58885298
154,15.10868878
155,13.08177976
156,11.41718505
157,8.250342141
158,-1.117007502
159,4.423890856
160,6.718439579
161,-0.765482655
162,2.798728083
163,5.725144008
164,3.691244931
165,4.034954925
166,5.140088963
167,5.698308359
168,6.404982073
169,4.948846898
170,3.315476402
171,9.681263186
172,11.80114374
173,8.58103685
174,19.37550835
175,22.0866678
176,19.22524165
177,17.20691851
178,17.87825807
179,15.02603841
180,14.60892528
181,7.935889059
182,8.921513517
183,1.662900904
184,5.761320665
185,3.009466376
186,-0.6194739
187,0.970243833
188,4.843354601
189,3.771412238
190,5.182386127
191,8.132627898
192,10.27110646
193,6.541773825
194,4.081580751
195,7.199495323
196,3.019628105
197,10.22060104
198,9.816287539
199,17.56707639
200,14.30327782
201,16.18356401
202,18.92958695
203,17.85890611
204,21.02918622
205,14.4918945
206,4.692867146
207,2.254781861
208,4.424813555
209,-1.579998794
210,3.069660887
211,-0.402258832
212,10.13660521
213,9.02405528
214,7.924435745
215,7.601877283
216,7.458084832
217,8.137190627
218,11.36891329
219,20.12539329
220,16.89528013
221,20.76050831
222,13.58755777
223,12.00018287
224,14.12181477
225,22.29966135
226,23.83575737
227,16.31166581
228,18.8580686
229,20.43520897
230,15.87680447
231,13.89986091
232,1.707454
233,8.327343173
234,4.28679811
235,-1.338149865
236,7.142904499
237,3.175786648
238,7.335813362
239,6.147430809
240,11.92455116
241,11.98764873
242,9.125663528
243,2.52982561
244,2.595572293
245,10.55086178
246,4.488507134
247,8.268450327
248,10.17715344
249,18.5722513
250,21.6187294
251,23.26135817
252,19.90600109
253,16.79345782
254,18.09923573
255,18.10627073
256,7.294136153
257,4.612720552
258,3.674546488
259,8.216553965
260,5.28381219
261,7.948496528
262,7.013372461
263,11.71532032
264,10.52249417
265,10.71107576
266,9.544083658
267,12.88817118
268,4.412963584
269,9.010744547
270,7.449262558
271,12.65876984
272,13.4350205
273,16.93062043
274,20.68218719
275,25.32538767
276,24.72776471
277,18.211905
278,24.20256595
279,21.63084831
280,10.429826
281,8.610646094
282,11.43074301
283,3.381614398
284,3.159258725
285,6.664633749
286,7.202930941
287,4.97915018
288,10.16134191
289,7.313567517
290,7.377024267
291,14.7728675
292,23.64126935
293,20.02909065
294,15.8664892
295,4.717026301
296,12.25608485
297,7.404570767
298,12.48515985
299,22.09647672
300,21.58059246
