"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","218183","강원도 강릉시 옥계면 산계길 225"," ","2017","한라시멘트㈜(구.라파즈한라(옥계)","1657","170090"," "," ","11005037"
" ","28204","강원도 강릉시 강동면 염전길 99","213552","2017","한국남동발전㈜ 영동에코발전본부"," ","170091"," "," ","1111224"
" ","18432","강원도 동해시 숫골길 17 (용정동)"," ","2017","DB메탈㈜ 동해공장"," ","170093"," "," "," "
" ","23404","강원도 동해시 공단9로 145 (구호동)","2147545","2017","한국동서발전㈜동해바이오발전본부","287","170094","11700"," ","1201564"
" ","348177","강원도 동해시 효자로 246 (삼화동)"," ","2017","쌍용씨앤이㈜ 동해공장((구)쌍용양회공업㈜ 동해공장)","15300","170095"," "," ","14497749"
" ","203026","강원도 삼척시 동양길 20 (사직동)"," ","2017","㈜삼표시멘트 삼척공장(구.동양시멘트 삼척공장)","1358","170096"," "," ","11211481"
" ","0","강원도 삼척시 신기면 강원남부로 2879"," ","2017","라파즈한라시멘트㈜신기공장"," ","170097"," "," ","0"
" ","13","강원도 횡성군 횡성읍 학오로 89"," ","2017","횡성군폐기물처리시설","70","170098","425"," ","4120"
" ","85447","강원도 영월군 한반도면 쌍용로 89"," ","2017","쌍용씨앤이㈜ 영월공장","2584","170099"," "," ","4409383"
" ","25427","강원도 영월군 한반도면 화랏길 57"," ","2017","한일현대시멘트㈜영월공장","3486","170100"," "," ","5251095"
" ","3375","강원도 정선군 신동읍 예미2길 26-17"," ","2017","태경산업㈜예미공장"," ","170103"," "," "," "
" ","117","강원도 화천군 하남면 영서로 5799-132"," ","2017","화천군 폐기물소각시설((구)화천군환경관리사업소)","29","170104","1418"," ","3478"
" ","87","강원도 고성군 죽왕면 짱고개길 253"," ","2017","고성군농어촌폐기물종합처리시설","207","170105","1881"," ","5161"
" ","0","강원도 동해시 봉수로 160 (대진동)"," ","2017","동해시 생활환경센터","0","170106","0"," ","0"
" ","49","강원도 인제군 북면 금강로 221"," ","2017","인제군 생활폐기물 소각시설","10","170107","409"," ","2813"
" ","0","강원도 동해시 공단2로 16 (구호동)","0","2017","천지에너지㈜ 동해공장","0","170108","0"," ","0"
" ","311","강원도 양양군 양양읍 되넘이길 80"," ","2017","양양군생활폐기물소각시설","226","170109","3102"," ","4053"
" "," ","강원도 영월군 영월읍 중앙로 411"," ","2017","한국남부발전㈜ 영월빛드림본부"," ","170110"," "," ","218074"
" ","260","강원도 홍천군 홍천읍 느리울길 164","185","2017","홍천군폐기물처리시설","961","170111","127"," ","7057"
" ","418","강원도 속초시 방축길 56 (대포동)","96","2017","속초시폐기물처리시설","1088","170113","4513"," ","10810"
" ","1318","강원도 춘천시 신동면 한치로 681","2162","2017","춘천도시형폐기물종합처리시설","493","170114","1427"," ","30403"
" ","325","강원도 태백시 용정길 239 (통동)","2642","2017","태백시폐기물소각시설","509","170115","773"," ","9711"
" ","78","강원도 원주시 지정면 신평로 2"," ","2017","한국중부발전㈜ 원주그린열병합발전소","3830","170116","3659"," ","26392"
" ","58758","강원도 동해시 공단4로 36","509533","2017","㈜지에스동해전력"," ","170117"," "," ","1002417"
" ","84916","강원도 삼척시 원덕읍 삼척로 734","143204","2017","한국남부발전㈜ 삼척발전본부"," ","170118"," "," ","1080251"
" "," ","강원도 춘천시 동산면 원무동길 82"," ","2017","춘천에너지㈜"," ","170119"," "," ","136364"
"2017","2017","2017","2017","2017","2017","2017","2017","2017","2017","2017"
"9","9","9","9","9","9","9","9","9","9","9"
